#<lower left points><upper right points>
(0.691667,0.137557)	(0.711112,0.156462)
(0.206951,0.799718)	(0.258274,0.809666)
(0.206951,0.814818)	(0.213278,0.820793)
(0.143818,0.814818)	(0.206951,0.829064)
(0.0370501,0.685409)	(0.0532811,0.712381)
(0.0370501,0.760562)	(0.0435649,0.76922)
(0,0.760562)	(0.0198344,0.794566)
(0.163399,0.799718)	(0.206325,0.808515)
(0.163399,0.814259)	(0.206951,0.814818)
(0.143818,0.814259)	(0.163399,0.814818)
(0.120278,0)	(0.123333,0.216629)
(0.120278,0.216629)	(0.123333,0.67165)
(0.11126,0.216629)	(0.117647,0.247907)
(0.914974,0.49339)	(0.924071,0.580226)
(0.914974,0.580226)	(0.924071,0.655785)
(0.732665,0.580226)	(0.74732,0.589656)
(0.0822403,0.0146065)	(0.086265,0.103589)
(0.0822403,0.103589)	(0.086265,0.147991)
(0.0247224,0.103589)	(0.0349849,0.13114)
(0.38687,0.607798)	(0.535765,0.609702)
(0.38687,0.620293)	(0.529121,0.656407)
(0.375423,0.620293)	(0.38687,0.661681)
(0.685369,0.701968)	(0.716434,0.71965)
(0.685369,0.737301)	(0.746162,0.747867)
(0.624466,0.737301)	(0.635346,0.740886)
(0.0476041,0.760562)	(0.100246,0.799769)
(0.0476041,0.808445)	(0.102229,0.812899)
(0.0370501,0.808445)	(0.0476041,0.835009)
(0.637636,0.904092)	(0.863481,0.908464)
(0.637636,0.908464)	(0.797345,0.911639)
(0.462382,0.908464)	(0.480544,0.910561)
(0.0824644,0.835009)	(0.089431,0.843314)
(0.0824644,0.843314)	(0.0851686,0.852685)
(0.0145658,0.843314)	(0.0158146,0.843723)
(0.521717,0.850416)	(0.586032,0.85509)
(0.521717,0.85509)	(0.586032,0.875132)
(0.418019,0.85509)	(0.420156,0.862846)
(0.48041,0.49339)	(0.485147,0.504942)
(0.48041,0.577274)	(0.500699,0.58868)
(0.453614,0.577274)	(0.475405,0.580497)
(0.0435649,0.760562)	(0.0476041,0.76922)
(0.0435649,0.76922)	(0.0476041,0.808445)
(0.0370501,0.76922)	(0.0435649,0.808445)
(0.933292,0.921987)	(0.940144,0.927556)
(0.933292,0.927556)	(0.940144,0.937487)
(0.901069,0.927556)	(0.933292,0.937487)
(0.247494,0.257778)	(0.269459,0.267356)
(0.247494,0.309519)	(0.268211,0.349114)
(0.23146,0.309519)	(0.233067,0.545505)
(0.478603,0.362887)	(0.481146,0.375561)
(0.478603,0.40817)	(0.496146,0.415089)
(0.450763,0.40817)	(0.478603,0.41528)
(0.22348,0.67531)	(0.266032,0.685376)
(0.22348,0.784547)	(0.273082,0.799718)
(0.143818,0.784547)	(0.169774,0.786018)
(0.0626186,0.147991)	(0.0661527,0.16217)
(0.0626186,0.16217)	(0.0661527,0.23305)
(0,0.16217)	(0.00802842,0.231539)
(0.269273,0.309519)	(0.276052,0.343018)
(0.269273,0.458435)	(0.286111,0.558389)
(0.247494,0.458435)	(0.251421,0.535954)
(0.519235,0.26822)	(0.553864,0.280201)
(0.519235,0.304279)	(0.564712,0.308736)
(0.404413,0.304279)	(0.45501,0.312447)
(0.334407,0)	(0.335472,0.111151)
(0.334407,0.189071)	(0.373668,0.231744)
(0.328779,0.189071)	(0.331326,0.209037)
(0.855543,0.226429)	(0.890821,0.236204)
(0.855543,0.236204)	(0.870631,0.239189)
(0.691667,0.236204)	(0.720666,0.244267)
(0.325179,0.256266)	(0.328249,0.437448)
(0.325179,0.529602)	(0.328779,0.661681)
(0.298338,0.529602)	(0.306263,0.641712)
(0.771055,0.333389)	(0.877813,0.333589)
(0.771055,0.343666)	(0.803302,0.354404)
(0.762621,0.343666)	(0.76896,0.406441)
(0.627062,0.661681)	(0.676067,0.667462)
(0.627062,0.680072)	(0.729466,0.688272)
(0.624466,0.680072)	(0.627062,0.701968)
(0.0594368,0.429362)	(0.0882956,0.463093)
(0.0594368,0.463093)	(0.0623539,0.491256)
(0.0269248,0.463093)	(0.0594368,0.497114)
(0.287667,0.328553)	(0.290202,0.375979)
(0.287667,0.409582)	(0.289452,0.43739)
(0.286111,0.409582)	(0.286118,0.474906)
(0.422023,0.49339)	(0.453614,0.564448)
(0.422023,0.564448)	(0.453614,0.591146)
(0.375423,0.564448)	(0.388531,0.565168)
(0.797345,0.908464)	(0.863481,0.911639)
(0.797345,0.911639)	(0.797386,0.914647)
(0.637636,0.911639)	(0.797345,0.921987)
(0.404791,0.921987)	(0.489112,0.924037)
(0.404791,0.950748)	(0.626674,0.951751)
(0.396283,0.950748)	(0.404791,0.960473)
(0.676197,0.867193)	(0.681019,0.870515)
(0.676197,0.870947)	(1,0.875132)
(0.648779,0.870947)	(0.665027,0.873043)
(0.648859,0.950748)	(0.846621,0.95573)
(0.648859,0.959495)	(0.863481,0.960473)
(0.404791,0.959495)	(0.648859,0.960473)
(0.729579,0.137557)	(0.730439,0.203318)
(0.729579,0.218173)	(0.746145,0.221134)
(0.691667,0.218173)	(0.729579,0.226429)
(0.439411,0.442889)	(0.450763,0.459388)
(0.439411,0.459388)	(0.450763,0.49339)
(0.376033,0.459388)	(0.439411,0.49339)
(0.296268,0.0302121)	(0.298338,0.205268)
(0.296268,0.205268)	(0.298338,0.328553)
(0.292263,0.205268)	(0.29594,0.242725)
(0.537212,0)	(0.580486,0.0159333)
(0.537212,0.0241759)	(0.581804,0.0291596)
(0.375423,0.0241759)	(0.395732,0.0323031)
(0.911618,0.321959)	(0.924071,0.325777)
(0.911618,0.325777)	(0.916733,0.330294)
(0.902257,0.325777)	(0.911618,0.331631)
(0.910371,0.580226)	(0.911093,0.630235)
(0.910371,0.636783)	(0.914974,0.655785)
(0.732665,0.636783)	(0.771015,0.637761)
(0.67413,0.840727)	(0.733049,0.8537)
(0.67413,0.85749)	(0.781398,0.863461)
(0.648779,0.85749)	(0.67413,0.867193)
(0.244338,0.874652)	(0.326566,0.878296)
(0.244338,0.878296)	(0.313573,0.882031)
(0.209737,0.878296)	(0.244338,0.885854)
(0.21568,0.0982663)	(0.215759,0.180582)
(0.21568,0.180582)	(0.215759,0.257778)
(0.201334,0.180582)	(0.210552,0.196199)
(0.74507,0.411504)	(0.897475,0.422431)
(0.74507,0.422431)	(0.826533,0.437418)
(0.69546,0.422431)	(0.732005,0.426606)
(0.025304,0.760562)	(0.0370501,0.81128)
(0.025304,0.81128)	(0.0370501,0.835009)
(0,0.81128)	(0.00457208,0.815086)
(0.489718,0.785653)	(0.581639,0.801817)
(0.489718,0.815961)	(0.54306,0.82187)
(0.375423,0.815961)	(0.437039,0.820402)
(0.925967,0.402864)	(0.929853,0.46471)
(0.925967,0.539272)	(0.928038,0.579595)
(0.924071,0.539272)	(0.925967,0.661681)
(0.347084,0.256266)	(0.366648,0.272839)
(0.347084,0.272839)	(0.366272,0.371952)
(0.328779,0.272839)	(0.336637,0.361181)
(0.658781,0.057943)	(0.6779,0.0906865)
(0.658781,0.221347)	(0.691667,0.226429)
(0.65428,0.221347)	(0.658781,0.226429)
(0.752747,0.701968)	(0.808765,0.707477)
(0.752747,0.727581)	(0.906207,0.73115)
(0.685369,0.727581)	(0.752747,0.737301)
(0.151282,0.439507)	(0.15954,0.451497)
(0.151282,0.451497)	(0.152715,0.575276)
(0.143818,0.451497)	(0.148607,0.486754)
(0.0760202,0.147991)	(0.0841328,0.194758)
(0.0760202,0.224925)	(0.086265,0.23305)
(0.0661527,0.224925)	(0.0760202,0.23305)
